ds,y
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,2
2/1/20,2
2/2/20,2
2/3/20,2
2/4/20,2
2/5/20,2
2/6/20,2
2/7/20,3
2/8/20,3
2/9/20,3
2/10/20,3
2/11/20,3
2/12/20,3
2/13/20,3
2/14/20,3
2/15/20,3
2/16/20,3
2/17/20,3
2/18/20,3
2/19/20,3
2/20/20,3
2/21/20,20
2/22/20,62
2/23/20,155
2/24/20,229
2/25/20,322
2/26/20,453
2/27/20,655
2/28/20,888
2/29/20,1128
3/1/20,1694
3/2/20,2036
3/3/20,2502
3/4/20,3089
3/5/20,3858
3/6/20,4636
3/7/20,5883
3/8/20,7375
3/9/20,9172
3/10/20,10149
3/11/20,12462
3/12/20,12462
3/13/20,17660
3/14/20,21157
3/15/20,24747
3/16/20,27980
3/17/20,31506
3/18/20,35713
3/19/20,41035
3/20/20,47021
3/21/20,53578
3/22/20,59138
3/23/20,63927
3/24/20,69176
3/25/20,74386
3/26/20,80589
3/27/20,86498
3/28/20,92472
3/29/20,97689
3/30/20,101739